ID,Área Monitorada (m2),Alcance de Transmissão (km),Taxa de Transferência (kbit/s),pH
1201,10,5.2,470,6.1
2456,15,6.8,280,
3123,20,9.4,390,
1745,10,9.6,430,7.2
3889,20,7.6,390,
2589,15,6.4,380,
1998,10,5.6,250,6.8
3188,20,9.2,410,
1467,10,5.8,450,5.5
3765,20,8.4,360,
2311,15,6.8,480,
1866,10,5.2,410,5.1
3211,20,8.2,420,
1877,10,5.4,470,6.2
2987,15,9.8,500,
1955,10,7,290,4.6
2799,15,9.8,440,
3733,20,9,490,
1577,10,8,440,5.9
3477,20,6,300,
2355,15,8.4,480,
1344,10,7,320,6.5
3422,20,8.8,470,
2188,15,5.8,410,6.6
2911,15,9.6,410,
1244,10,9.4,500,6.9
3677,20,6.6,350,
2002,15,7.2,460,
1745,10,6.8,370,4.7
3788,20,7.4,460,
3422,20,8.8,470,
3144,20,8.2,400,
